190601,4.87,8.783,15.961,23.171,22.672,12.864,1.0058,14.389,2.1705,2.78,7.808
190602,5.69,11.233,18.693,26.199,22.602,12.718,3.0438,14.953,0.1277,3.64,79.049
190603,6.9,14.699,22.856,31.063,29.132,11.948,1.6929,16.364,0.2039,5.11,22.426
190604,8.3,23.136,31.13,39.171,25.191,15.931,0.9778,16.021,0,6.98,1.265
190605,8.69,27.048,34.232,41.443,34.144,23.989,1.2022,14.394,0,7.56,10.272
190606,7.57,27.757,33.174,38.628,58.715,30.912,6.2211,10.871,0,6.59,129.488
190607,5.93,26.239,29.971,33.683,73.11,33.211,15.2601,7.423,0,5.06,438.923
190608,5.34,25.648,29,32.371,68.575,33.68,12.233,6.721,0,4.48,219.805
190609,5.42,25.413,29.251,33.151,57.506,31.878,8.3874,7.725,0,4.32,215.467
190610,5.82,21.081,26.359,31.679,34.717,24.054,3.6721,10.598,0,4.02,88.766
190611,5.68,14.619,21.545,28.5,20.209,16.528,0.5183,13.845,0.0293,3.39,0.517
190612,4.93,9.927,17.212,24.544,23.054,13.874,0.6142,14.62,0.6013,2.75,0.614
190701,4.99,10.192,17.347,24.582,22.672,13.658,0.1197,14.389,0,2.9,0.119
190702,5.71,10.785,18.231,25.738,22.602,12.674,2.6056,14.953,0.2091,3.59,61.994
190703,6.93,14.105,22.261,30.469,29.132,11.301,1.7435,16.364,0.2248,5.02,23.608
190704,8.18,20.097,28.076,36.118,25.191,14.322,1.9181,16.021,0.0099,6.52,35.831
190705,8.55,25.153,32.339,39.571,34.144,23.356,1.5241,14.394,0,7.28,11.922
190706,7.48,27.383,32.785,38.254,58.715,30.904,7.6721,10.871,0,6.55,264.067
190707,5.92,26.716,30.426,34.137,73.11,34.152,11.1321,7.423,0,5.09,177.9
190708,5.38,26.12,29.468,32.841,68.575,33.68,13.354,6.721,0,4.51,276.132
190709,5.44,25.368,29.243,33.127,57.506,31.994,7.6321,7.725,0,4.33,149.058
190710,5.84,21.522,26.802,32.121,34.616,24.124,1.2487,10.598,0,4.05,14.956
190711,5.7,14.139,21.08,28.035,20.343,16.477,0,13.845,0.0338,3.35,0
190712,4.92,8.851,16.137,23.472,23.054,12.867,0.9181,14.62,1.5929,2.66,0.995
190801,4.79,7.496,14.69,21.909,22.672,12.06,1.3911,14.389,3.8092,2.69,11.646
190802,5.65,11.472,18.955,26.462,22.602,13.678,2.5309,14.953,0.044,3.69,59.592
190803,6.99,16.622,24.803,33.009,29.132,13.019,1,16.364,0,5.36,6.534
190804,8.45,24.904,32.909,40.949,25.191,17.914,0.9778,16.021,0,7.24,1.192
190805,8.73,26.857,34.041,41.274,34.144,23.987,1.1768,14.394,0,7.53,5.666
190806,7.58,28.213,33.616,39.085,58.715,31.06,4.3478,10.871,0,6.65,78.434
190807,5.9,26.186,29.873,33.607,73.11,33.211,13.8807,7.423,0,5.04,279.651
190808,5.38,26.426,29.76,33.148,68.575,33.68,14.4154,6.721,0,4.56,287.45
190809,5.46,25.456,29.294,33.192,57.506,31.843,5.8695,7.725,0,4.33,96.591
190810,5.84,21.344,26.623,31.941,34.717,24.006,2.8416,10.598,0,4.05,104.367
190811,5.67,13.665,20.603,27.553,20.209,15.66,0,13.845,0.063,3.31,0
190812,4.83,8.475,15.783,23.096,23.054,12.869,0.4051,14.62,2.6862,2.64,0.405
190901,4.96,10.441,17.62,24.83,22.672,13.416,1.0208,14.389,0,2.92,2.741
190902,5.68,11.396,18.855,26.363,22.602,13.299,1.0406,14.953,0.107,3.67,6.23
190903,7.15,17.409,25.591,33.796,29.132,13.476,0,16.364,0,5.45,0
190904,8.26,20.618,28.614,36.655,25.191,14.731,1.9097,16.021,0,6.62,36.607
190905,8.67,26.57,33.755,40.988,34.144,23.384,1.2391,14.394,0,7.49,5.075
190906,7.46,25.705,31.116,36.599,58.715,28.964,7.8345,10.871,0.0076,6.35,213.786
190907,5.84,25.856,29.565,33.277,73.11,33.211,14.7628,7.423,0,5.01,368.626
190908,5.34,25.62,28.956,32.34,68.575,33.703,14.3459,6.721,0,4.48,360.656
190909,5.42,25.324,29.177,33.06,57.506,31.967,8.1136,7.725,0,4.31,163.811
190910,5.82,21.12,26.426,31.743,34.717,23.939,1.3809,10.598,0,4.03,7.877
190911,5.67,14.566,21.46,28.412,20.209,16.5,0.1266,13.845,0.0045,3.38,0.127
190912,4.98,10.002,17.288,24.62,23.054,13.832,1.2718,14.62,0.8671,2.76,2.88
191001,4.87,8.582,15.763,22.996,22.672,12.199,1.0051,14.389,2.3145,2.77,5.497
191002,5.66,11.401,18.884,26.392,22.602,13.559,1.1064,14.953,0.1142,3.67,9.564
191003,7.05,16.873,25.032,33.238,29.132,13.019,1.4337,16.364,0,5.38,17.748
191004,8.38,22.98,30.999,39.018,25.191,15.717,1.0004,16.021,0,6.95,9.646
191005,8.7,26.133,33.296,40.528,34.144,23.282,1.4346,14.394,0,7.41,10.171
191006,7.49,26.494,31.88,37.365,58.715,30.913,7.139,10.871,0,6.43,166.384
191007,5.86,25.788,29.5,33.233,73.11,33.211,13.48,7.423,0,5.02,284.324
191008,5.35,25.974,29.308,32.696,68.575,33.658,14.1855,6.721,0,4.51,329.261
191009,5.44,25.305,29.153,33.052,57.506,31.878,9.0245,7.725,0,4.32,205.346
191010,5.84,20.986,26.266,31.586,34.717,23.961,3.2448,10.598,0,4.02,47.739
191011,5.67,13.624,20.564,27.516,20.209,15.598,1,13.845,0.0698,3.31,16.953
191012,4.85,8.947,16.233,23.566,23.054,13.172,0,14.62,2.1601,2.67,0
191101,5.02,11.085,18.241,25.473,22.672,14.035,1.1911,14.389,0,2.98,9.314
191102,5.7,10.83,18.279,25.785,22.602,12.946,0.2,14.953,0.1469,3.6,0.2
191103,6.95,15.213,23.373,31.577,29.132,12.192,1.8303,16.364,0.1656,5.17,22.284
191104,8.3,22.459,30.477,38.496,25.191,15.646,1,16.021,0,6.88,2.078
191105,8.73,27.198,34.382,41.594,34.144,23.625,1.4462,14.394,0,7.58,12.611
191106,7.46,26.109,31.512,36.994,58.715,29.96,9.5082,10.871,0,6.38,368.327
191107,5.93,27.342,31.053,34.787,73.11,35.411,9.6941,7.423,0,5.16,165.399
191108,5.39,25.449,28.8,32.171,68.575,33.633,12.7946,6.721,0,4.46,268.4
191109,5.4,24.704,28.552,32.452,57.506,31.878,9.8557,7.725,0,4.27,258.489
191110,5.82,21.008,26.303,31.623,34.717,24.007,3.9687,10.598,0,4.02,101.705
191111,5.67,13.779,20.686,27.639,20.209,15.81,1,13.845,0.072,3.3,34.292
191112,4.85,8.416,15.724,23.036,23.054,12.868,0,14.62,2.6973,2.64,0
191201,4.86,9.409,16.583,23.815,22.672,12.889,1.0051,14.389,0.6546,2.84,3.137
191202,5.75,12.586,20.031,27.539,22.602,13.678,1.2667,14.953,0,3.78,9.546
191203,7.1,16.432,24.637,32.819,29.132,13.019,1.0337,16.364,0.0067,5.34,3.985
191204,8.32,21.444,29.441,37.483,25.191,15.142,1.0335,16.021,0,6.73,14.825
191205,8.56,25.591,32.755,39.986,34.144,23.407,1.9577,14.394,0,7.35,23.463
191206,7.55,28.152,33.554,39.038,58.715,31.358,5.1109,10.871,0,6.65,92.333
191207,5.92,26.061,29.748,33.483,73.11,33.211,13.9913,7.423,0,5.02,312.82
191208,5.37,25.803,29.152,32.524,68.575,33.643,13.5401,6.721,0,4.5,301.48
191209,5.42,24.941,28.793,32.678,57.506,31.878,4.9692,7.725,0,4.29,52.699
191210,5.84,21.119,26.396,31.716,34.717,23.985,1.2126,10.598,0,4.02,17.81
191211,5.64,13.394,20.301,27.253,20.209,15.488,1,13.845,0.0811,3.28,14.019
191212,4.86,8.691,16,23.334,23.054,12.869,0,14.62,2.392,2.66,0
191301,4.88,8.981,16.155,23.388,22.672,12.722,0.1197,14.389,1.6116,2.81,0.119
191302,5.7,11.368,18.86,26.369,22.602,13.484,2.8914,14.953,0.1093,3.67,66.551
191303,6.89,14.684,22.842,31.048,29.132,11.657,1.9175,16.364,0.2074,5.11,32.788
191304,8.38,23.724,31.718,39.761,25.191,16.881,0.7396,16.021,0,7.05,0.741
191305,8.7,24.745,31.955,39.187,34.144,21.907,2.6604,14.394,0,7.23,35.266
191306,7.37,24.751,30.189,35.65,58.715,27.68,9.4198,10.871,0.0099,6.23,352.409
191307,5.84,26.104,29.792,33.527,73.11,33.211,11.4269,7.423,0,5.03,223.036
191308,5.35,25.556,28.914,32.299,68.575,33.634,14.3474,6.721,0,4.48,330.691
191309,5.43,25.3,29.125,33.024,57.506,31.878,7.333,7.725,0,4.31,151.745
191310,5.84,20.618,25.897,31.214,34.717,24.02,2.9022,10.598,0,3.98,81.56
191311,5.62,13.15,20.088,27.043,20.209,15.55,1,13.845,0.0856,3.27,2.459
191312,4.85,8.893,16.178,23.512,23.054,13.571,1.9076,14.62,2.3197,2.67,9.495
191401,4.91,9.612,16.771,24.002,22.672,13.175,0.5159,14.389,0.1315,2.86,0.628
191402,5.75,12.11,19.555,27.062,22.602,13.416,2.0663,14.953,0.0058,3.73,30.111
191403,7.06,15.699,23.88,32.088,29.132,12.881,1.4101,16.364,0.0805,5.24,17.974
191404,8.27,20.724,28.731,36.751,25.191,14.817,1.5647,16.021,0,6.63,28.813
191405,8.57,24.841,32.048,39.259,34.144,23.404,2.6391,14.394,0,7.24,37.997
191406,7.46,26.568,31.981,37.463,58.715,30.253,4.817,10.871,0,6.45,55.252
191407,5.86,25.881,29.567,33.302,73.11,33.252,11.2269,7.423,0,5.01,235.128
191408,5.36,25.802,29.153,32.524,68.575,33.643,15.0613,6.721,0,4.5,379.832
191409,5.47,24.941,28.793,32.678,57.506,31.903,8.7629,7.725,0,4.29,107.12
191410,5.76,19.989,25.283,30.602,34.717,22.688,1.2031,10.598,0,3.92,12.413
191411,5.65,14.582,21.474,28.427,20.209,16.475,0,13.845,0.045,3.38,0
191412,4.93,9.851,17.139,24.471,23.054,13.795,1.2531,14.62,0.5909,2.75,2.119
191501,4.95,9.828,17.023,24.255,22.672,12.901,1.0051,14.389,0.0491,2.89,3.343
191502,5.7,11.562,19.009,26.517,22.602,13.484,2.4216,14.953,0.0829,3.68,64.606
191503,7.02,15.771,23.953,32.159,29.132,12.192,1.6862,16.364,0.1097,5.25,11.942
191504,8.33,22.467,30.462,38.505,25.191,15.743,1,16.021,0,6.88,3.545
191505,8.69,26.605,33.792,41.025,34.144,23.791,2.0714,14.394,0,7.49,16.412
191506,7.52,27.308,32.71,38.177,58.715,31.707,4.8404,10.871,0,6.53,116.837
191507,5.93,27.152,30.842,34.574,73.11,34.575,12.5612,7.423,0,5.14,264.106
191508,5.39,26.309,29.643,33.031,68.575,33.621,12.9179,6.721,0,4.54,245.795
191509,5.38,25.198,29.048,32.924,57.506,31.878,9.7397,7.725,0,4.31,246.999
191510,5.84,22.689,27.97,33.286,34.717,25.507,2.6999,10.598,0,4.16,50.129
191511,5.8,15.976,22.869,29.822,20.209,16.98,1,13.845,0,3.5,22.457
191512,4.97,9.302,16.587,23.92,23.054,13.743,0.0404,14.62,1.5476,2.7,0.04
191601,4.84,8.52,15.699,22.933,23.333,12.746,0.1197,14.389,2.4942,2.75,0.119
191602,5.63,11.787,19.232,26.739,22.602,13.514,1.7598,14.953,0.0783,3.7,25.336
191603,7.15,18.443,26.626,34.83,28.868,14.054,0.9778,16.364,0,5.59,1.413
191604,8.38,23.312,31.313,39.357,25.628,15.747,1,16.021,0,7,4.17
191605,8.81,28.186,35.397,42.606,34.144,26.12,1.0971,14.394,0,7.72,4.641
191606,7.52,25.72,31.131,36.614,58.715,28.868,7.673,10.871,0.0023,6.35,193.033
191607,5.84,26.046,29.736,33.469,73.11,33.211,14.2837,7.423,0,5.03,338.998
191608,5.36,25.682,29.041,32.426,68.887,33.68,13.7133,6.721,0,4.49,302.26
191609,5.39,25.172,29.018,32.891,57.92,31.927,8.0497,7.72,0,4.31,158.426
191610,5.82,21.487,26.766,32.083,35.417,24.007,5.238,10.598,0,4.05,170.907
191611,5.71,14.47,21.362,28.315,20.842,15.687,0.9004,13.845,0.0608,3.37,1.254
191612,4.85,8.297,15.582,22.917,24.518,12.895,0,14.62,2.6353,2.62,0
191701,4.86,8.87,16.027,23.26,22.672,12.809,1.0051,14.389,1.7179,2.79,2.079
191702,5.7,11.354,18.844,26.354,22.602,13.117,2.1175,14.953,0.107,3.67,33.615
191703,7.02,15.579,23.735,31.943,29.132,12.17,1.0417,16.364,0.1522,5.22,5.713
191704,8.33,21.035,29.018,37.058,25.314,14.795,1,16.021,0.0035,6.67,5.074
191705,8.5,23.205,30.39,37.622,34.024,20.743,3.2757,14.394,0,7.01,48.68
191706,7.4,26.131,31.58,37.038,59.375,30.031,6.5481,10.871,0,6.39,147.704
191707,5.84,26.004,29.692,33.426,73.548,33.213,12.986,7.423,0,5.03,272.102
191708,5.36,25.691,29.063,32.434,68.946,33.62,16.0564,6.721,0,4.49,415.423
191709,5.38,24.711,28.558,32.46,58.564,31.88,7.5046,7.725,0,4.27,143.611
191710,5.81,21.029,26.308,31.628,34.96,23.909,5.7204,10.598,0,4.02,216.749
191711,5.64,13.852,20.768,27.722,20.83,15.494,0.2305,13.845,0.0811,3.32,0.231
191712,4.93,9.169,16.48,23.789,23.011,13.446,0.3353,14.62,1.6733,2.69,0.335
191801,4.84,7.983,15.178,22.411,22.755,12.083,0.2561,14.389,3.2573,2.73,0.261
191802,5.64,11.34,18.83,26.339,22.602,13.631,0.3408,14.953,0.0856,3.66,0.34
191803,7.08,17.072,25.251,33.458,30.263,13.019,1.0026,16.364,0,5.41,6.168
191804,8.33,21.376,29.379,37.421,25.237,14.944,1,16.021,0,6.71,3.559
191805,8.67,25.665,32.872,40.104,35.177,23.233,1.6992,14.394,0,7.36,14.897
191806,7.37,25.119,30.531,35.991,59.422,27.771,7.9435,10.871,0.0099,6.26,226.58
191807,5.91,27.482,31.171,34.905,73.208,34.884,9.591,7.423,0,5.18,180.01
191808,5.34,25.007,28.365,31.73,69.366,33.657,16.2936,6.721,0,4.42,406.414
191809,5.34,25.402,29.166,32.958,58.261,31.865,8.49,7.556,0,4.27,193.324
191810,5.82,20.987,26.288,31.606,35.488,23.949,1.0807,10.598,0,4.01,8.209
191811,5.69,13.99,20.907,27.861,20.046,16.43,0,13.845,0.0315,3.33,0
191812,4.86,8.539,15.848,23.183,22.571,13.015,0.3276,14.62,2.5106,2.65,0.335
191901,5,10.664,17.88,25.114,22.672,13.879,2.1376,14.389,0,2.95,41.793
191902,5.65,10.647,18.107,25.599,22.602,12.673,1.1724,14.953,0.2285,3.59,8.67
191903,7.08,17.117,25.296,33.503,29.108,13.019,1.2377,16.364,0,5.43,13.182
191904,8.33,21.538,29.517,37.56,25.191,15.219,1.0552,16.021,0,6.73,11.808
191905,8.63,25.644,32.806,40.038,33.933,23.32,2.3164,14.394,0,7.34,40.924
191906,7.49,26.615,32.029,37.501,58.715,30.604,6.5887,10.871,0,6.45,147.013
191907,5.84,25.858,29.57,33.281,73.649,33.211,13.7087,7.423,0,5.01,301.982
191908,5.35,25.85,29.187,32.572,68.951,33.644,16.5926,6.721,0,4.5,436.109
191909,5.43,24.846,28.694,32.594,57.506,31.88,9.0353,7.725,0,4.28,181.28
191910,5.82,20.796,26.096,31.414,34.686,24.029,3.789,10.598,0,3.99,129.962
191911,5.67,14.408,21.313,28.265,20.786,16.451,0.7481,13.845,0.0383,3.36,1.593
191912,4.89,9.093,16.401,23.712,23.705,13.048,0,14.62,1.9168,2.69,0
192001,4.89,9.172,16.344,23.574,23.233,12.914,0.1197,14.389,0.651,2.84,0.119
192002,5.69,11.516,18.961,26.492,22.849,13.514,2.0959,14.976,0.1012,3.67,39.781
192003,6.98,15.938,24.095,32.302,30.386,12.461,1.9033,16.364,0.0918,5.27,30.111
192004,8.37,22.642,30.636,38.679,25.191,15.737,1,16.021,0,6.91,2.035
192005,8.57,25.129,32.292,39.524,34.144,22.688,1.6905,14.394,0,7.26,16.862
192006,7.56,28.483,33.907,39.392,58.715,32.433,4.9946,10.871,0,6.69,66.491
192007,5.93,26.082,29.791,33.527,73.136,33.211,16.0984,7.423,0,5.04,501.595
192008,5.35,25.87,29.206,32.593,69.136,33.634,13.7004,6.721,0,4.5,332.204
192009,5.37,25.026,28.865,32.749,58.642,31.903,8.1804,7.725,0,4.3,153.42
192010,5.83,21.559,26.839,32.158,34.659,24.007,1.4017,10.598,0,4.06,12.83
192011,5.71,14.667,21.605,28.559,19.719,16.477,0,13.845,0.0293,3.39,0
192012,4.92,9.505,16.792,24.126,23.054,13.969,0,14.62,0.7579,2.73,0
192101,4.95,9.96,17.131,24.363,22.669,13.059,2.4155,14.389,0.1894,2.89,34.089
192102,5.63,11.268,18.716,26.224,22.651,12.995,1.1799,14.953,0.1325,3.65,9.904
192103,7.11,18.291,26.473,34.679,29.395,14.187,0.9063,16.364,0,5.57,1.468
192104,8.39,23.827,31.831,39.872,25.191,16.45,1,16.021,0,7.08,2.85
192105,8.76,28.687,35.849,43.081,34.672,25.542,1.1175,14.394,0,7.79,4.7
192106,7.58,27.568,32.971,38.44,59.321,30.937,8.2925,10.871,0,6.56,207.576
192107,5.92,26.529,30.217,33.951,73.548,33.304,13.6399,7.423,0,5.07,287.164
192108,5.36,25.311,28.683,32.055,69.198,33.696,16.7884,6.721,0,4.46,438.504
192109,5.39,24.782,28.606,32.507,58.639,31.878,6.3947,7.725,0,4.27,103.232
192110,5.82,20.19,25.509,30.827,34.181,22.648,1.017,10.598,0,3.94,10.281
192111,5.59,13.309,20.216,27.17,21.231,15.627,0,13.845,0.0946,3.28,0
192112,4.88,9.186,16.471,23.804,23.054,13.434,0,14.62,2.1343,2.69,0
192201,4.91,9.349,16.507,23.737,22.25,12.865,1.4055,14.389,0.9372,2.84,14.694
192202,5.71,12.244,19.695,27.201,21.92,13.604,1.0743,14.953,0,3.74,10.226
192203,7.11,17.631,25.811,34.019,29.748,13.537,0.6034,16.364,0,5.48,0.603
192204,8.37,23.162,31.154,39.195,25.413,16.883,1,16.02,0,6.97,6.616
192205,8.78,27.643,34.827,42.059,34.191,25.091,1.0602,14.394,0,7.64,2.634
